sep=,
ID,Text,Translation,VoiceActor,Context
100080397822,Ракетчик,Rocketeer,,jazz-units:items.lua:43368 | jazz-units:UnitData/JAZZ_Legion_HeavyT1_Rocketeer.lua:21
102086394463,Автоматический огонь,Full Auto,,jazz-units:items.lua:59190
102139743828,пыхтит,puffs,,jazz-units:items.lua:68951
102593759252,кашляет,coughs,,jazz-units:items.lua:70005
102970979232,"Ого! Господи, что со мной могло случится!","Wow! Lord, what could have happened to me!",,jazz-units:items.lua:70217
103474241264,"Вот черт! Я, конечно, терпеть не могла Монику, но уж точно не желала ей смерти. И уж точно не хотела убивать ее сама! Записываю время смерти...","Damn it! Of course, I couldn’t stand Monica, but I certainly didn’t want her to die. And I certainly didn’t want to kill her myself! I'm recording the time of death...",,jazz-units:items.lua:70048
105784329687,Пистон,Piston,,jazz-units:Code/Mercenary.lua:143
107713982322,"Все-таки, книжки это одно, а вот опыт, это совсем другое дело.","Still, books are one thing, but experience is a completely different matter.",,jazz-units:items.lua:71026
107870618922,Боль непереносима.,The pain is unbearable.,,jazz-units:items.lua:70186
109651245516,"Ещё не вечер! Можно уже жахнуть, командир?","It's not evening yet! Can I start drinking already, commander?",,jazz-units:items.lua:70665
109699413644,"И что такой парень, как я, может делать в таком месте? Да это ж бред собачий!","What could a guy like me do in a place like this? Yes, this is bullshit!",,jazz-units:items.lua:69102
110929798318,БК на исходе.,BC is running out.,,jazz-units:items.lua:70610
111872647333,"Полагаю, не мешало бы продумать все это получше.",I suppose it wouldn't hurt to think this through a bit more.,,jazz-units:items.lua:69903
111936767427,"Я снова с вами, свеж, бодр и относительно цел!","I am with you again, fresh, cheerful and relatively whole!",,jazz-units:items.lua:70738
112256418640,"Люблю, когда мне уделяют столько внимания.",I love it when they pay so much attention to me.,,jazz-units:items.lua:69602
113050924217,"Считай, свелся. Командуй ""огонь"", братан.","Consider it settled. Command fire, bro.",,jazz-units:items.lua:70594
113948731495,Налётчик,Raider,,jazz-units:items.lua:40634 | jazz-units:UnitData/JAZZ_Legion_FrontT2_Raider.lua:22
